 Tom  Old  Boot,'Short'|1800's|short|less  than  5  minutes,A  Mother's  Devotion;  or    the  Firing  of  the  Patchwork  Quilt,'Short'|  'short',Beach  and  Pier  at  Trouville    1st  part,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 A  Terrible  Night,'Comedy'|  'Horror'|  'Short'|1800's|short|less  than  5  minutes,By  Order  of  Napoleon,,The  Arrival  of  a  Train,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Card  Party,'Biography'|  'Short'|1800's|short|less  than  5  minutes,Buffalo  Bill's  Wild  West  Parade,'Short'|  'short'|  'less  than  5  minutes',Watering  the  Flowers,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Wandering  Negro  Minstrels,'Music'|  'Short'|1800's|short|less  than  5  minutes,High  Hat,,Rip's  Twenty  Years'  Sleep,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 A  Watermelon  Feast,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Across  America  by  Motor  Car,'Documentary',The  Docks  at  Marseilles,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Bewitched  Inn,'Comedy'|  'Horror'|  'Short'|1800's|short|less  than  5  minutes,Father  Gets  in  the  Game,'Short'|  'Comedy'|  'short',Card  Party,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Corbett-Fitzsimmons  Fight,'Documentary'|  'News'|  'Sport'|1800's|movie|less  than  2  hours,The  Fall  of  the  Romanoffs,'movie'|  'less  than  2  hours',Demolition  of  a  Wall,"'Documentary'|  ""1800's"" "
 Behind  the  Scenes,'Comedy'|  'Short'|1800's|short|less  than  2  hours,Undressing  Extraordinary,'Short'|  'Comedy'|  'short',The  Arrival  of  a  Train,"'Short'|  ""1800's""|  'short' "
 The  Hallucinated  Alchemist,'Fantasy'|  'Horror'|  'Short'|1800's|short|less  than  5  minutes,What's  Your  Husband  Doing?,,Rip  Leaving  Sleepy  Hollow,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Haunted  Castle,'Horror'|  'Short'|1800's|short|less  than  5  minutes,Scrooge;  or  Marley's  Ghost,'Horror'|  'short',Akrobatisches  Potpourri,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Henley  Regatta,'News'|  'Short'|  'Sport'|1800's|short|less  than  5  minutes,High  Speed,,Rip  Passing  Over  the  Mountain,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Hypnotist  at  Work,'Short'|1800's|short|less  than  5  minutes,The  Coronation  of  King  Edward  VII,'Short'|  'short'|  'less  than  5  minutes',Leaving  the  Factory,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 A  Badly  Managed  Hotel,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,The  Clown  and  the  Alchemist,'Short'|  'Comedy'|  'short'|  'less  than  5  minutes',Henley  Regatta,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
